# ACTS Test Suite Generation: Mon Dec 04 22:12:15 MSK 2017
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 14
# Maximum number of values per parameter: 20
# Number of configurations: 401
product1,quantity1,giftWrap1,product2,quantity2,giftWrap2,product3,quantity3,giftWrap3,price1,price2,price3,shipment,date
CLOTHING,1,false,CLOTHING,1,false,CLOTHING,1,false,0,0,0.01,DOMESTIC_EXPEDITED,2017.12.16
ELECTRONICS,2,true,ELECTRONICS,2,true,ELECTRONICS,2,true,0,0.01,0.99,INTERNATIONAL,2018.01.15
FURNITUREDECOR,3,false,FURNITUREDECOR,3,true,FURNITUREDECOR,3,false,0,0.99,1,INTERNATIONAL_EXPEDITED,2018.01.16
JEWELRY,0,true,JEWELRY,0,false,JEWELRY,0,true,0,1,6.6,DOMESTIC,2018.03.30
MUSIC,1,false,MUSIC,2,true,MUSIC,3,true,0,6.6,6.74,DOMESTIC,2018.03.31
VIDEO,2,true,VIDEO,3,false,VIDEO,0,false,0,6.74,9.95,DOMESTIC_EXPEDITED,2018.09.30
WATCHES,3,false,WATCHES,0,true,WATCHES,1,true,0,9.95,10.05,INTERNATIONAL,2017.12.15
BOOKS,0,true,BOOKS,2,false,BOOKS,2,false,0,10.05,12.37,INTERNATIONAL_EXPEDITED,2017.12.16
CLOTHING,1,false,ELECTRONICS,3,true,FURNITUREDECOR,2,true,0,12.37,12.63,DOMESTIC,2018.03.30
ELECTRONICS,2,true,FURNITUREDECOR,1,false,JEWELRY,1,false,0,12.63,13.26,INTERNATIONAL_EXPEDITED,2018.03.31
FURNITUREDECOR,3,true,JEWELRY,1,true,MUSIC,2,true,0,13.26,13.4,DOMESTIC_EXPEDITED,2018.09.30
JEWELRY,0,false,MUSIC,1,false,VIDEO,3,false,0,13.4,24.99,INTERNATIONAL,2017.12.15
MUSIC,0,true,VIDEO,3,false,WATCHES,1,false,0,24.99,25,INTERNATIONAL_EXPEDITED,2018.01.15
VIDEO,1,false,WATCHES,0,true,BOOKS,0,true,0,25,48.99,INTERNATIONAL,2018.01.16
WATCHES,2,true,BOOKS,2,true,CLOTHING,3,false,0,48.99,49,DOMESTIC_EXPEDITED,2018.03.30
BOOKS,3,false,CLOTHING,0,false,ELECTRONICS,0,false,0,49,200,DOMESTIC,2018.03.31
CLOTHING,0,true,FURNITUREDECOR,2,true,MUSIC,0,true,0,200,200.01,INTERNATIONAL_EXPEDITED,2017.12.15
ELECTRONICS,1,false,JEWELRY,3,true,VIDEO,3,true,0,200.01,800,DOMESTIC,2017.12.16
FURNITUREDECOR,2,true,MUSIC,0,false,WATCHES,1,false,0,800,800.01,DOMESTIC,2018.03.30
JEWELRY,3,false,VIDEO,2,true,BOOKS,2,true,0,800.01,0,DOMESTIC_EXPEDITED,2018.03.31
MUSIC,0,true,WATCHES,0,false,FURNITUREDECOR,3,false,0.01,0,0.99,DOMESTIC_EXPEDITED,2018.09.30
VIDEO,1,false,BOOKS,1,false,JEWELRY,0,true,0.01,0.01,1,DOMESTIC,2017.12.15
WATCHES,2,false,CLOTHING,3,true,MUSIC,2,false,0.01,0.99,6.6,INTERNATIONAL,2018.01.15
BOOKS,3,true,ELECTRONICS,1,false,CLOTHING,1,false,0.01,1,6.74,INTERNATIONAL_EXPEDITED,2018.01.16
CLOTHING,0,false,JEWELRY,2,true,ELECTRONICS,1,false,0.01,6.6,9.95,INTERNATIONAL,2018.01.16
ELECTRONICS,3,true,MUSIC,1,false,BOOKS,2,true,0.01,6.74,10.05,INTERNATIONAL_EXPEDITED,2018.03.30
FURNITUREDECOR,1,true,VIDEO,3,true,CLOTHING,0,true,0.01,9.95,12.37,INTERNATIONAL,2018.03.31
JEWELRY,1,false,FURNITUREDECOR,0,false,WATCHES,1,true,0.01,10.05,12.63,INTERNATIONAL_EXPEDITED,2018.09.30
MUSIC,3,true,BOOKS,0,true,VIDEO,2,false,0.01,12.37,13.26,INTERNATIONAL,2018.01.16
VIDEO,0,false,CLOTHING,2,false,FURNITUREDECOR,3,true,0.01,12.63,13.4,INTERNATIONAL,2017.12.16
WATCHES,2,true,ELECTRONICS,0,true,JEWELRY,0,false,0.01,13.26,24.99,DOMESTIC_EXPEDITED,2017.12.16
