# ACTS Test Suite Generation: Wed Dec 06 15:37:37 MSK 2017
#  '*' represents don't care value 
# Degree of interaction coverage: 1
# Number of parameters: 14
# Maximum number of values per parameter: 22
# Number of configurations: 22
product1,quantity1,giftWrap1,product2,quantity2,giftWrap2,product3,quantity3,giftWrap3,price1,price2,price3,shipment,date
CLOTHING,1,false,CLOTHING,1,false,CLOTHING,1,false,0,0.01,0.01,DOMESTIC_EXPEDITED,2017.12.16
ELECTRONICS,2,true,ELECTRONICS,2,true,ELECTRONICS,2,true,0.01,0.99,0.99,INTERNATIONAL,2018.01.15
FURNITUREDECOR,3,false,FURNITUREDECOR,3,false,FURNITUREDECOR,3,true,0.99,1,1,INTERNATIONAL_EXPEDITED,2018.01.16
JEWELRY,0,false,JEWELRY,0,false,JEWELRY,0,true,1,6.6,6.6,DOMESTIC,2018.03.30
MUSIC,2,true,MUSIC,0,true,MUSIC,2,true,24.99,6.74,6.74,INTERNATIONAL_EXPEDITED,2018.03.31
VIDEO,2,true,VIDEO,3,false,VIDEO,3,true,25,9.95,9.95,INTERNATIONAL_EXPEDITED,2018.09.30
WATCHES,1,true,WATCHES,1,false,WATCHES,0,true,48.99,10.05,10.05,DOMESTIC_EXPEDITED,2017.12.15
BOOKS,2,true,BOOKS,0,true,BOOKS,3,false,49,12.37,12.37,INTERNATIONAL,2018.03.31
ELECTRONICS,3,false,FURNITUREDECOR,3,false,BOOKS,2,false,200,12.63,12.63,DOMESTIC_EXPEDITED,2018.01.16
MUSIC,3,false,JEWELRY,1,false,VIDEO,2,true,200.01,13.26,13.26,INTERNATIONAL,2017.12.15
JEWELRY,1,true,BOOKS,2,true,CLOTHING,2,true,800,13.4,13.4,INTERNATIONAL,2017.12.15
FURNITUREDECOR,0,true,ELECTRONICS,2,false,BOOKS,1,false,800.01,24.99,24.99,INTERNATIONAL_EXPEDITED,2017.12.15
WATCHES,2,true,WATCHES,2,true,MUSIC,0,true,13.26,25,25,DOMESTIC,2018.01.15
VIDEO,2,false,BOOKS,1,false,BOOKS,3,true,6.6,48.99,48.99,INTERNATIONAL_EXPEDITED,2018.01.15
BOOKS,3,false,VIDEO,0,false,FURNITUREDECOR,2,true,12.37,49,49,DOMESTIC_EXPEDITED,2018.09.30
VIDEO,3,false,WATCHES,1,true,WATCHES,0,false,9.95,200,200,DOMESTIC,2018.01.15
WATCHES,2,true,MUSIC,1,false,ELECTRONICS,1,true,13.4,200.01,200.01,DOMESTIC_EXPEDITED,2018.03.30
JEWELRY,3,true,MUSIC,2,false,WATCHES,1,true,6.74,800,800,DOMESTIC_EXPEDITED,2018.01.16
BOOKS,0,true,BOOKS,3,false,BOOKS,1,false,12.63,800.01,800.01,INTERNATIONAL_EXPEDITED,2018.01.16
JEWELRY,1,true,MUSIC,2,true,ELECTRONICS,3,true,10.05,500,500,INTERNATIONAL,2017.12.16
CLOTHING,3,false,ELECTRONICS,3,true,VIDEO,3,false,500,500.01,500.01,DOMESTIC,2018.01.15
JEWELRY,1,false,ELECTRONICS,3,false,WATCHES,3,false,500.01,0,0,INTERNATIONAL_EXPEDITED,2018.01.15
