product1,quantity1,giftWrap1,product2,quantiny2,giftWrap2,price1,price2,shipment,date
JEWELRY,2,TRUE,JEWELRY,10,FALSE,260,2,DOMESTIC,2018.01.20
JEWELRY,1,FALSE,JEWELRY,1,TRUE,25,2,DOMESTIC_EXPEDITED,2018.03.01
JEWELRY,150,TRUE,JEWELRY,150,FALSE,5,3,INTERNATIONAL,2018.01.20
JEWELRY,2,FALSE,JEWELRY,2,TRUE,5,100,INTERNATIONAL_EXPEDITED,2018.01.20
WATCHES,2,FALSE,WATCHES,2,TRUE,20,20,INTERNATIONAL,2018.03.01
WATCHES,1,TRUE,WATCHES,20,FALSE,250,21,DOMESTIC,2017.10.10
WATCHES,1,TRUE,WATCHES,1,FALSE,0.9,200,DOMESTIC_EXPEDITED,2018.11.20
WATCHES,1,FALSE,WATCHES,1,TRUE,0.9,100,INTERNATIONAL_EXPEDITED,2018.03.01
WATCHES,2,TRUE,WATCHES,2,FALSE,850,20,INTERNATIONAL,2018.03.01
BOOKS,1,TRUE,BOOKS,1,FALSE,30,2,DOMESTIC,2018.01.20
BOOKS,1,TRUE,BOOKS,1,FALSE,20,4,DOMESTIC_EXPEDITED,2017.10.10
BOOKS,2,TRUE,BOOKS,2,FALSE,50,5,INTERNATIONAL_EXPEDITED,2017.10.10
BOOKS,1,TRUE,BOOKS,1,FALSE,20,3,INTERNATIONAL,2018.01.20
ELECTRONICS,1,TRUE,ELECTRONICS,1,FALSE,50,4,DOMESTIC,2018.01.20
ELECTRONICS,2,TRUE,ELECTRONICS,2,FALSE,200,5,DOMESTIC_EXPEDITED,2018.03.01
ELECTRONICS,1,TRUE,ELECTRONICS,20,FALSE,400,21,DOMESTIC_EXPEDITED,2018.01.20
ELECTRONICS,3,TRUE,ELECTRONICS,3,FALSE,12,1,INTERNATIONAL_EXPEDITED,2018.01.20
MUSIC,1,TRUE,MUSIC,1,FALSE,30,2,DOMESTIC,2018.01.20
MUSIC,1,TRUE,MUSIC,21,FALSE,20,2,DOMESTIC_EXPEDITED,2017.10.10
MUSIC,2,TRUE,MUSIC,2,FALSE,15,6,INTERNATIONAL,2017.10.10
MUSIC,1,TRUE,MUSIC,1,FALSE,20,5,INTERNATIONAL_EXPEDITED,2018.01.20
CLOTHING,1,TRUE,CLOTHING,1,FALSE,50,7,DOMESTIC,2018.01.20
CLOTHING,2,TRUE,CLOTHING,2,FALSE,21,3,DOMESTIC_EXPEDITED,2018.03.01
CLOTHING,1,TRUE,CLOTHING,1,FALSE,40,4,INTERNATIONAL,2018.01.20
CLOTHING,3,TRUE,CLOTHING,3,FALSE,10,1,INTERNATIONAL_EXPEDITED,2018.01.20
FURNITUREDECOR,1,TRUE,FURNITUREDECOR,1,FALSE,30,2,DOMESTIC,2018.01.20
FURNITUREDECOR,1,TRUE,FURNITUREDECOR,1,FALSE,20,3,DOMESTIC_EXPEDITED,2017.10.10
FURNITUREDECOR,2,TRUE,FURNITUREDECOR,2,FALSE,50,5,INTERNATIONAL,2017.10.10
FURNITUREDECOR,1,TRUE,FURNITUREDECOR,1,FALSE,20,4,INTERNATIONAL_EXPEDITED,2018.01.20
VIDEO,1,TRUE,VIDEO,1,FALSE,50,3,DOMESTIC,2018.01.20
VIDEO,2,TRUE,VIDEO,2,FALSE,200,2,DOMESTIC_EXPEDITED,2018.03.01
VIDEO,1,TRUE,VIDEO,1,FALSE,400,5,INTERNATIONAL,2018.01.20
VIDEO,3,TRUE,VIDEO,3,FALSE,10,6,INTERNATIONAL_EXPEDITED,2018.01.20
ELECTRONICS,1,TRUE,ELECTRONICS,1,FALSE,150,10,DOMESTIC,2018.01.20
BOOKS,1,TRUE,BOOKS,1,FALSE,20,5,DOMESTIC_EXPEDITED,2018.01.20
