# ACTS Test Suite Generation: Sun Nov 19 13:36:07 EET 2017
#  '*' represents don't care value 
# Degree of interaction coverage: 1
# Number of parameters: 7
# Maximum number of values per parameter: 18
# Number of configurations: 18
product,price,ship,quantity,giftWrap,time,jewelry2
music,0,domestic expedited,1,false,16.12.2017,false
video,0.01,international,2,true,15.01.2018,true
jewelry,6.66,international expedited,0,false,16.01.2018,false
clothing,6.67,domestic,1,false,30.03.2018,false
furniture,10,domestic expedited,2,true,31.03.2018,false
watches,10.01,international expedited,2,true,30.09.2018,true
electronics,12.5,international,2,false,01.10.2018,false
book,12.51,domestic,2,true,15.12.2017,true
video,13.33,domestic expedited,2,false,16.12.2017,true
book,13.34,domestic,2,false,30.03.2018,true
video,24.99,domestic expedited,0,true,31.03.2018,false
electronics,25,international,2,false,01.10.2018,false
electronics,48.99,international,1,true,31.03.2018,false
jewelry,49,international,0,false,30.03.2018,true
clothing,200,domestic,2,true,15.12.2017,false
furniture,200.01,domestic,1,true,31.03.2018,true
video,800,international,2,false,15.12.2017,true
watches,800.01,international,1,false,15.01.2018,false
